"TEMP","Ozone","COUNTY"
81,0.039,"Fulton"
75.3,0.031,"Fulton"
74.4,0.033,"Fulton"
79.8,0.042,"Fulton"
80,0.042,"Fulton"
79.8,0.047,"Fulton"
80.8,0.067,"Fulton"
81.4,0.048,"Fulton"
81.6,0.084,"Fulton"
83.1,0.079,"Fulton"
80.6,0.057,"Fulton"
78,0.066,"Fulton"
75.7,0.057,"Fulton"
77.6,0.034,"Fulton"
74.8,0.029,"Fulton"
74.5,0.092,"Fulton"
78,0.089,"Fulton"
78.7,0.078,"Fulton"
81,0.099,"Fulton"
81.8,0.083,"Fulton"
83.7,0.067,"Fulton"
85.7,0.085,"Fulton"
83.8,0.079,"Fulton"
81.6,0.063,"Fulton"
82.5,0.068,"Fulton"
83.5,0.076,"Fulton"
80.5,0.076,"Fulton"
79.4,0.065,"Fulton"
79,0.092,"Fulton"
84.7,0.084,"Fulton"
83.4,0.07,"Fulton"
82.5,0.081,"Fulton"
81,0.077,"Fulton"
81.9,0.109,"Fulton"
86.6,0.081,"Fulton"
85.7,0.08,"Fulton"
78.3,0.083,"Fulton"
82.7,0.091,"Fulton"
78.1,0.056,"Fulton"
72.8,0.077,"Fulton"
71.5,0.038,"Fulton"
72.5,0.075,"Fulton"
77.7,0.092,"Fulton"
79,0.113,"Fulton"
76.1,0.063,"Fulton"
77.2,0.057,"Fulton"
74.6,0.038,"Fulton"
74.8,0.035,"Fulton"
74.1,0.028,"Fulton"
75.8,0.046,"Fulton"
78.1,0.067,"Fulton"
77.7,0.09,"Fulton"
82.2,0.081,"Fulton"
83.2,0.052,"Fulton"
82.9,0.063,"Fulton"
84.3,0.067,"Fulton"
82.3,0.12,"Fulton"
79.2,0.074,"Fulton"
77.7,0.07,"Fulton"
76.1,0.078,"Fulton"
78.2,0.092,"Fulton"
81.5,0.08,"Fulton"
84,0.094,"Fulton"
87.4,0.132,"Fulton"
89.6,0.085,"Fulton"
86,0.115,"Fulton"
80.9,0.066,"Fulton"
72.7,0.047,"Fulton"
72.7,0.07,"Fulton"
76.5,0.09,"Fulton"
80.5,0.086,"Fulton"
77.4,0.068,"Fulton"
77.9,0.084,"Fulton"
74.3,0.044,"Fulton"
76.4,0.084,"Fulton"
79.2,0.083,"Fulton"
76.9,0.065,"Fulton"
73.3,0.021,"Fulton"
72.9,0.036,"Fulton"
74.2,0.046,"Fulton"
74.3,0.043,"Fulton"
76,0.054,"Fulton"
74.4,0.045,"Fulton"
64.4,0.023,"Fulton"
61.6,0.025,"Fulton"
68.1,0.025,"Fulton"
73.1,0.039,"Fulton"
73.2,0.044,"Fulton"
75.1,0.047,"Fulton"
75.6,0.072,"Fulton"
77.1,0.051,"Fulton"
77.2,0.063,"Fulton"
75.4,0.057,"Fulton"
65.1,0.054,"Fulton"
62.5,0.047,"Fulton"
65.5,0.033,"Fulton"
69.9,0.061,"Fulton"
75.1,0.032,"Fulton"
70.9,0.015,"Fulton"
71.7,0.028,"Fulton"
76.2,0.035,"Fulton"
63.4,0.048,"Fulton"
65.1,0.054,"Fulton"
64.7,0.044,"Fulton"
67,0.042,"Fulton"
66.8,0.035,"Fulton"
70.2,0.068,"Fulton"
71,0.06,"Fulton"
70.7,0.049,"Fulton"
68.9,0.022,"Fulton"
58.2,0.028,"Fulton"
47.3,0.025,"Fulton"
44.8,0.026,"Fulton"
48.6,0.024,"Fulton"
53.9,0.024,"Fulton"
58.5,0.047,"Fulton"
60.1,0.042,"Fulton"
60.4,0.041,"Fulton"
62.1,0.058,"Fulton"
64.9,0.044,"Fulton"
66.7,0.039,"Fulton"
67.9,0.049,"Fulton"
63.7,0.043,"Fulton"
65.5,0.051,"Fulton"
65.7,0.053,"Fulton"
67.2,0.056,"Fulton"
67.6,0.068,"Fulton"
65.6,0.054,"Fulton"
67.4,0.059,"Fulton"
66.7,0.057,"Fulton"
67.3,0.061,"Fulton"
68.6,0.061,"Fulton"
66.4,0.047,"Fulton"
65.8,0.041,"Fulton"
68.1,0.034,"Fulton"
